,precision,recall,f1-score,support
"African grey, African gray, Psittacus erithacus",1.0,0.94,0.9690721649484536,50
macaw,0.9387755102040817,0.92,0.9292929292929293,50
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9230769230769231,0.96,0.9411764705882353,50
lorikeet,0.9245283018867925,0.98,0.9514563106796116,50
coucal,0.9361702127659575,0.88,0.9072164948453608,50
bee eater,0.9245283018867925,0.98,0.9514563106796116,50
hornbill,0.96,0.96,0.96,50
hummingbird,0.9423076923076923,0.98,0.9607843137254902,50
jacamar,0.92,0.92,0.92,50
toucan,0.8888888888888888,0.96,0.923076923076923,50
drake,0.9166666666666666,0.88,0.8979591836734694,50
"red-breasted merganser, Mergus serrator",1.0,0.92,0.9583333333333334,50
goose,0.8235294117647058,0.84,0.8316831683168315,50
"black swan, Cygnus atratus",1.0,0.98,0.98989898989899,50
tusker,0.5535714285714286,0.62,0.5849056603773586,50
"echidna, spiny anteater, anteater",0.9803921568627451,1.0,0.99009900990099,50
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",0.8125,0.78,0.7959183673469388,50
"wallaby, brush kangaroo",0.8627450980392157,0.88,0.8712871287128714,50
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.9019607843137255,0.92,0.9108910891089109,50
wombat,0.8936170212765957,0.84,0.8659793814432989,50
jellyfish,0.92,0.92,0.92,50
"sea anemone, anemone",0.868421052631579,0.66,0.7500000000000001,50
brain coral,0.8653846153846154,0.9,0.8823529411764707,50
"flatworm, platyhelminth",0.9148936170212766,0.86,0.8865979381443299,50
"nematode, nematode worm, roundworm",0.92,0.92,0.92,50
conch,0.8604651162790697,0.74,0.7956989247311828,50
snail,0.8431372549019608,0.86,0.8514851485148515,50
slug,0.8478260869565217,0.78,0.8125,50
"sea slug, nudibranch",0.75,0.96,0.8421052631578947,50
"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.9387755102040817,0.92,0.9292929292929293,50
"chambered nautilus, pearly nautilus, nautilus",1.0,0.86,0.924731182795699,50
"Dungeness crab, Cancer magister",0.7288135593220338,0.86,0.7889908256880733,50
"rock crab, Cancer irroratus",0.5441176470588235,0.74,0.6271186440677965,50
fiddler crab,0.8717948717948718,0.68,0.7640449438202247,50
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.8571428571428571,0.84,0.8484848484848485,50
"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.8888888888888888,0.8,0.8421052631578948,50
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.8431372549019608,0.86,0.8514851485148515,50
"crayfish, crawfish, crawdad, crawdaddy",0.7435897435897436,0.58,0.6516853932584269,50
hermit crab,0.7894736842105263,0.9,0.8411214953271027,50
isopod,0.8333333333333334,0.8,0.816326530612245,50
"white stork, Ciconia ciconia",0.9782608695652174,0.9,0.9375,50
"black stork, Ciconia nigra",0.8627450980392157,0.88,0.8712871287128714,50
spoonbill,0.9423076923076923,0.98,0.9607843137254902,50
flamingo,1.0,0.94,0.9690721649484536,50
"little blue heron, Egretta caerulea",0.8518518518518519,0.92,0.8846153846153846,50
"American egret, great white heron, Egretta albus",0.8333333333333334,0.9,0.8653846153846153,50
bittern,0.9787234042553191,0.92,0.9484536082474226,50
"crane, bird",0.8780487804878049,0.72,0.7912087912087912,50
"limpkin, Aramus pictus",0.9245283018867925,0.98,0.9514563106796116,50
"European gallinule, Porphyrio porphyrio",0.98,0.98,0.98,50
"American coot, marsh hen, mud hen, water hen, Fulica americana",0.92,0.92,0.92,50
bustard,0.9,0.9,0.9,50
"ruddy turnstone, Arenaria interpres",0.9074074074074074,0.98,0.9423076923076924,50
"red-backed sandpiper, dunlin, Erolia alpina",0.9148936170212766,0.86,0.8865979381443299,50
"redshank, Tringa totanus",0.9574468085106383,0.9,0.9278350515463918,50
dowitcher,0.9183673469387755,0.9,0.9090909090909091,50
"oystercatcher, oyster catcher",0.94,0.94,0.94,50
pelican,0.9056603773584906,0.96,0.9320388349514563,50
"king penguin, Aptenodytes patagonica",0.9795918367346939,0.96,0.9696969696969697,50
"albatross, mollymawk",0.9,0.9,0.9,50
