,precision,recall,f1-score,support
peacock,0.8181818181818182,0.72,0.7659574468085107,50
quail,0.6,0.78,0.6782608695652174,50
partridge,0.7111111111111111,0.64,0.6736842105263158,50
"African grey, African gray, Psittacus erithacus",0.78,0.78,0.78,50
macaw,0.9333333333333333,0.84,0.8842105263157894,50
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.8478260869565217,0.78,0.8125,50
lorikeet,0.8653846153846154,0.9,0.8823529411764707,50
coucal,0.7954545454545454,0.7,0.7446808510638298,50
bee eater,0.9148936170212766,0.86,0.8865979381443299,50
hornbill,0.7037037037037037,0.76,0.7307692307692308,50
hummingbird,0.925,0.74,0.8222222222222222,50
jacamar,0.875,0.84,0.8571428571428572,50
toucan,0.8837209302325582,0.76,0.8172043010752689,50
drake,0.6212121212121212,0.82,0.706896551724138,50
"red-breasted merganser, Mergus serrator",0.8780487804878049,0.72,0.7912087912087912,50
goose,0.5344827586206896,0.62,0.574074074074074,50
"black swan, Cygnus atratus",0.8301886792452831,0.88,0.8543689320388349,50
tusker,0.36363636363636365,0.56,0.44094488188976383,50
"echidna, spiny anteater, anteater",0.925,0.74,0.8222222222222222,50
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",0.7941176470588235,0.54,0.6428571428571429,50
"wallaby, brush kangaroo",0.8214285714285714,0.46,0.5897435897435898,50
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.967741935483871,0.6,0.7407407407407407,50
wombat,0.8,0.16,0.26666666666666666,50
jellyfish,0.8333333333333334,0.8,0.816326530612245,50
"sea anemone, anemone",0.6904761904761905,0.58,0.6304347826086957,50
brain coral,0.8529411764705882,0.58,0.6904761904761905,50
"flatworm, platyhelminth",0.4875,0.78,0.6,50
"nematode, nematode worm, roundworm",0.7758620689655172,0.9,0.8333333333333334,50
conch,0.375,0.72,0.4931506849315069,50
snail,0.7441860465116279,0.64,0.6881720430107526,50
slug,0.6363636363636364,0.56,0.5957446808510639,50
"sea slug, nudibranch",0.47619047619047616,0.8,0.5970149253731344,50
"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.75,0.72,0.7346938775510204,50
"chambered nautilus, pearly nautilus, nautilus",0.8604651162790697,0.74,0.7956989247311828,50
"Dungeness crab, Cancer magister",0.7083333333333334,0.68,0.6938775510204083,50
"rock crab, Cancer irroratus",0.3709677419354839,0.46,0.4107142857142857,50
fiddler crab,0.75,0.48,0.5853658536585366,50
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.47619047619047616,0.6,0.5309734513274337,50
"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.6349206349206349,0.8,0.7079646017699115,50
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.3469387755102041,0.68,0.4594594594594595,50
"crayfish, crawfish, crawdad, crawdaddy",0.5,0.26,0.34210526315789475,50
hermit crab,0.6037735849056604,0.64,0.6213592233009708,50
isopod,0.5,0.54,0.5192307692307693,50
"white stork, Ciconia ciconia",0.8125,0.78,0.7959183673469388,50
"black stork, Ciconia nigra",0.6470588235294118,0.66,0.6534653465346535,50
spoonbill,0.9347826086956522,0.86,0.8958333333333334,50
flamingo,0.8936170212765957,0.84,0.8659793814432989,50
"little blue heron, Egretta caerulea",0.8648648648648649,0.64,0.7356321839080459,50
"American egret, great white heron, Egretta albus",0.7407407407407407,0.8,0.7692307692307692,50
bittern,0.782608695652174,0.72,0.7499999999999999,50
"crane, bird",0.75,0.54,0.627906976744186,50
"limpkin, Aramus pictus",0.5897435897435898,0.92,0.71875,50
"European gallinule, Porphyrio porphyrio",0.9111111111111111,0.82,0.8631578947368421,50
"American coot, marsh hen, mud hen, water hen, Fulica americana",0.7755102040816326,0.76,0.7676767676767676,50
bustard,0.6307692307692307,0.82,0.7130434782608696,50
"ruddy turnstone, Arenaria interpres",0.7704918032786885,0.94,0.8468468468468469,50
"red-backed sandpiper, dunlin, Erolia alpina",0.8048780487804879,0.66,0.7252747252747254,50
"redshank, Tringa totanus",0.8809523809523809,0.74,0.8043478260869565,50
dowitcher,0.6785714285714286,0.76,0.7169811320754718,50
"oystercatcher, oyster catcher",0.7586206896551724,0.88,0.8148148148148148,50
pelican,0.9411764705882353,0.64,0.7619047619047621,50
"king penguin, Aptenodytes patagonica",0.8913043478260869,0.82,0.8541666666666666,50
"albatross, mollymawk",0.6825396825396826,0.86,0.7610619469026547,50
