,precision,recall,f1-score,support
sundial,0.7142857142857143,0.6,0.6521739130434783,50
sunglass,0.2777777777777778,0.1,0.14705882352941177,50
"sunglasses, dark glasses, shades",0.48717948717948717,0.38,0.4269662921348315,50
"sunscreen, sunblock, sun blocker",0.4772727272727273,0.42,0.4468085106382979,50
suspension bridge,0.7142857142857143,0.6,0.6521739130434783,50
"swab, swob, mop",0.671875,0.86,0.7543859649122807,50
sweatshirt,0.6785714285714286,0.38,0.48717948717948717,50
"swimming trunks, bathing trunks",0.5,0.62,0.5535714285714285,50
swing,0.6290322580645161,0.78,0.6964285714285714,50
"switch, electric switch, electrical switch",0.6458333333333334,0.62,0.6326530612244898,50
syringe,0.58,0.58,0.58,50
table lamp,0.6481481481481481,0.7,0.673076923076923,50
"tank, army tank, armored combat vehicle, armoured combat vehicle",0.6721311475409836,0.82,0.7387387387387387,50
tape player,0.28846153846153844,0.3,0.29411764705882354,50
teapot,0.7924528301886793,0.84,0.8155339805825242,50
"teddy, teddy bear",0.7608695652173914,0.7,0.7291666666666667,50
"television, television system",0.44155844155844154,0.68,0.5354330708661418,50
tennis ball,0.782608695652174,0.72,0.7499999999999999,50
"thatch, thatched roof",0.8,0.88,0.8380952380952381,50
"theater curtain, theatre curtain",0.6885245901639344,0.84,0.7567567567567568,50
thimble,0.7777777777777778,0.56,0.6511627906976745,50
"thresher, thrasher, threshing machine",0.8125,0.52,0.6341463414634146,50
throne,0.7608695652173914,0.7,0.7291666666666667,50
tile roof,0.7647058823529411,0.78,0.7722772277227723,50
toaster,0.6727272727272727,0.74,0.7047619047619048,50
"tobacco shop, tobacconist shop, tobacconist",0.6666666666666666,0.44,0.5301204819277109,50
toilet seat,0.6491228070175439,0.74,0.6915887850467289,50
torch,0.875,0.7,0.7777777777777777,50
totem pole,0.8518518518518519,0.92,0.8846153846153846,50
"tow truck, tow car, wrecker",0.65,0.52,0.5777777777777778,50
toyshop,0.4927536231884058,0.68,0.5714285714285715,50
tractor,0.6721311475409836,0.82,0.7387387387387387,50
"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.7692307692307693,0.8,0.7843137254901961,50
tray,0.40350877192982454,0.46,0.42990654205607476,50
trench coat,0.6944444444444444,0.5,0.5813953488372093,50
"tricycle, trike, velocipede",0.6166666666666667,0.74,0.6727272727272727,50
trimaran,0.6666666666666666,0.68,0.6732673267326733,50
tripod,0.6808510638297872,0.64,0.6597938144329897,50
triumphal arch,0.8490566037735849,0.9,0.8737864077669903,50
"trolleybus, trolley coach, trackless trolley",0.8909090909090909,0.98,0.9333333333333333,50
trombone,0.5961538461538461,0.62,0.607843137254902,50
"tub, vat",0.38461538461538464,0.3,0.33707865168539325,50
turnstile,0.7358490566037735,0.78,0.7572815533980584,50
typewriter keyboard,0.6938775510204082,0.68,0.686868686868687,50
umbrella,0.6470588235294118,0.66,0.6534653465346535,50
"unicycle, monocycle",0.5774647887323944,0.82,0.6776859504132231,50
"upright, upright piano",0.7592592592592593,0.82,0.7884615384615384,50
"vacuum, vacuum cleaner",0.6727272727272727,0.74,0.7047619047619048,50
vase,0.7317073170731707,0.6,0.6593406593406594,50
vault,0.5555555555555556,0.8,0.6557377049180328,50
velvet,0.34782608695652173,0.16,0.2191780821917808,50
vending machine,0.8518518518518519,0.92,0.8846153846153846,50
vestment,0.6190476190476191,0.52,0.5652173913043478,50
viaduct,0.8222222222222222,0.74,0.7789473684210526,50
"violin, fiddle",0.6730769230769231,0.7,0.6862745098039216,50
volleyball,0.8979591836734694,0.88,0.888888888888889,50
waffle iron,0.6792452830188679,0.72,0.6990291262135921,50
wall clock,0.5441176470588235,0.74,0.6271186440677965,50
"wallet, billfold, notecase, pocketbook",0.37142857142857144,0.52,0.43333333333333335,50
"wardrobe, closet, press",0.47674418604651164,0.82,0.6029411764705882,50
"warplane, military plane",0.6779661016949152,0.8,0.7339449541284404,50
"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.6612903225806451,0.82,0.7321428571428572,50
"washer, automatic washer, washing machine",0.7647058823529411,0.78,0.7722772277227723,50
water bottle,0.5681818181818182,0.5,0.5319148936170213,50
water jug,0.3333333333333333,0.24,0.27906976744186046,50
water tower,0.94,0.94,0.94,50
whiskey jug,0.8888888888888888,0.64,0.7441860465116279,50
whistle,0.6666666666666666,0.68,0.6732673267326733,50
wig,0.6885245901639344,0.84,0.7567567567567568,50
window screen,0.5686274509803921,0.58,0.5742574257425743,50
window shade,0.4603174603174603,0.58,0.5132743362831858,50
Windsor tie,0.7142857142857143,0.3,0.4225352112676056,50
wine bottle,0.5714285714285714,0.48,0.5217391304347826,50
wing,0.7073170731707317,0.58,0.6373626373626374,50
wok,0.46511627906976744,0.4,0.4301075268817204,50
wooden spoon,0.49230769230769234,0.64,0.5565217391304347,50
"wool, woolen, woollen",0.47368421052631576,0.36,0.40909090909090906,50
"worm fence, snake fence, snake-rail fence, Virginia fence",0.8695652173913043,0.8,0.8333333333333333,50
wreck,0.6666666666666666,0.8,0.7272727272727272,50
yawl,0.78,0.78,0.78,50
yurt,0.9777777777777777,0.88,0.9263157894736842,50
"web site, website, internet site, site",0.631578947368421,0.96,0.7619047619047619,50
comic book,0.5614035087719298,0.64,0.5981308411214953,50
"crossword puzzle, crossword",0.8863636363636364,0.78,0.8297872340425532,50
street sign,0.7307692307692307,0.76,0.7450980392156863,50
"traffic light, traffic signal, stoplight",0.7454545454545455,0.82,0.780952380952381,50
"book jacket, dust cover, dust jacket, dust wrapper",0.5769230769230769,0.6,0.5882352941176471,50
menu,0.7592592592592593,0.82,0.7884615384615384,50
plate,0.4117647058823529,0.56,0.4745762711864407,50
guacamole,0.825,0.66,0.7333333333333334,50
consomme,0.7021276595744681,0.66,0.6804123711340208,50
"hot pot, hotpot",0.5945945945945946,0.88,0.7096774193548386,50
trifle,0.8245614035087719,0.94,0.8785046728971964,50
