,precision,recall,f1-score,support
bee eater,0.75,0.06,0.1111111111111111,50
hornbill,0.3333333333333333,0.04,0.07142857142857142,50
hummingbird,0.3333333333333333,0.06,0.10169491525423728,50
jacamar,0.5714285714285714,0.24,0.33802816901408445,50
toucan,0.3333333333333333,0.48,0.39344262295081966,50
drake,1.0,0.02,0.0392156862745098,50
"red-breasted merganser, Mergus serrator",0.75,0.06,0.1111111111111111,50
goose,1.0,0.06,0.11320754716981131,50
"black swan, Cygnus atratus",1.0,0.34,0.5074626865671642,50
tusker,0.3793103448275862,0.22,0.27848101265822783,50
"echidna, spiny anteater, anteater",0.0,0.0,0.0,50
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",0.4117647058823529,0.14,0.208955223880597,50
"wallaby, brush kangaroo",0.0,0.0,0.0,50
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.0,0.0,0.0,50
wombat,0.6666666666666666,0.12,0.20338983050847456,50
jellyfish,0.7894736842105263,0.3,0.4347826086956521,50
"sea anemone, anemone",0.0,0.0,0.0,50
brain coral,1.0,0.06,0.11320754716981131,50
"flatworm, platyhelminth",0.5,0.04,0.07407407407407407,50
"nematode, nematode worm, roundworm",0.6440677966101694,0.76,0.6972477064220184,50
conch,0.14814814814814814,0.16,0.15384615384615383,50
snail,0.8333333333333334,0.1,0.17857142857142858,50
slug,0.3333333333333333,0.02,0.03773584905660377,50
"sea slug, nudibranch",0.25,0.02,0.037037037037037035,50
"chiton, coat-of-mail shell, sea cradle, polyplacophore",1.0,0.04,0.07692307692307693,50
"chambered nautilus, pearly nautilus, nautilus",0.4117647058823529,0.14,0.208955223880597,50
"Dungeness crab, Cancer magister",0.0,0.0,0.0,50
"rock crab, Cancer irroratus",0.0,0.0,0.0,50
fiddler crab,0.0,0.0,0.0,50
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.1935483870967742,0.12,0.14814814814814814,50
"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.0,0.0,0.0,50
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.0,0.0,0.0,50
"crayfish, crawfish, crawdad, crawdaddy",0.0,0.0,0.0,50
hermit crab,1.0,0.02,0.0392156862745098,50
isopod,0.08333333333333333,0.02,0.03225806451612903,50
"white stork, Ciconia ciconia",0.5625,0.18,0.2727272727272727,50
"black stork, Ciconia nigra",0.4,0.12,0.18461538461538463,50
spoonbill,0.6666666666666666,0.08,0.14285714285714285,50
flamingo,0.9411764705882353,0.32,0.4776119402985075,50
"little blue heron, Egretta caerulea",1.0,0.12,0.21428571428571425,50
"American egret, great white heron, Egretta albus",0.8421052631578947,0.32,0.463768115942029,50
bittern,1.0,0.02,0.0392156862745098,50
"crane, bird",0.6666666666666666,0.04,0.07547169811320754,50
"limpkin, Aramus pictus",0.5714285714285714,0.08,0.14035087719298248,50
"European gallinule, Porphyrio porphyrio",0.6333333333333333,0.38,0.4750000000000001,50
"American coot, marsh hen, mud hen, water hen, Fulica americana",0.68,0.34,0.4533333333333334,50
bustard,0.4583333333333333,0.22,0.29729729729729726,50
"ruddy turnstone, Arenaria interpres",0.5,0.02,0.038461538461538464,50
"red-backed sandpiper, dunlin, Erolia alpina",1.0,0.08,0.14814814814814814,50
"redshank, Tringa totanus",0.8,0.4,0.5333333333333333,50
dowitcher,0.7333333333333333,0.22,0.3384615384615385,50
"oystercatcher, oyster catcher",0.75,0.12,0.20689655172413793,50
pelican,0.0,0.0,0.0,50
"king penguin, Aptenodytes patagonica",1.0,0.08,0.14814814814814814,50
"albatross, mollymawk",1.0,0.04,0.07692307692307693,50
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",1.0,0.08,0.14814814814814814,50
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",0.8888888888888888,0.16,0.27118644067796616,50
"dugong, Dugong dugon",0.6382978723404256,0.6,0.6185567010309279,50
sea lion,0.2,0.02,0.03636363636363636,50
Chihuahua,0.0,0.0,0.0,50
Japanese spaniel,0.5,0.02,0.038461538461538464,50
"Maltese dog, Maltese terrier, Maltese",0.48148148148148145,0.26,0.33766233766233766,50
"Pekinese, Pekingese, Peke",0.0,0.0,0.0,50
Shih-Tzu,0.0,0.0,0.0,50
Blenheim spaniel,0.8571428571428571,0.12,0.21052631578947367,50
papillon,1.0,0.02,0.0392156862745098,50
toy terrier,1.0,0.04,0.07692307692307693,50
Rhodesian ridgeback,0.4,0.04,0.07272727272727272,50
"Afghan hound, Afghan",0.5,0.12,0.1935483870967742,50
"basset, basset hound",0.16666666666666666,0.02,0.03571428571428571,50
beagle,0.0,0.0,0.0,50
"bloodhound, sleuthhound",0.6666666666666666,0.16,0.25806451612903225,50
