,precision,recall,f1-score,support
macaw,0.3333333333333333,0.42,0.3716814159292035,50
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.23684210526315788,0.18,0.20454545454545453,50
lorikeet,0.3076923076923077,0.64,0.4155844155844156,50
coucal,0.25,0.04,0.06896551724137932,50
bee eater,0.34375,0.22,0.2682926829268293,50
hornbill,0.47058823529411764,0.16,0.23880597014925375,50
hummingbird,0.13432835820895522,0.18,0.15384615384615385,50
jacamar,0.5,0.08,0.13793103448275865,50
toucan,0.6538461538461539,0.34,0.4473684210526316,50
drake,0.16393442622950818,0.2,0.18018018018018017,50
"red-breasted merganser, Mergus serrator",0.21052631578947367,0.16,0.1818181818181818,50
goose,0.10810810810810811,0.08,0.09195402298850573,50
"black swan, Cygnus atratus",0.2972972972972973,0.44,0.3548387096774193,50
tusker,0.2,0.04,0.06666666666666667,50
"echidna, spiny anteater, anteater",0.5,0.12,0.1935483870967742,50
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",0.42857142857142855,0.06,0.10526315789473684,50
"wallaby, brush kangaroo",0.21212121212121213,0.14,0.1686746987951807,50
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.3488372093023256,0.3,0.3225806451612903,50
wombat,0.0,0.0,0.0,50
jellyfish,0.3888888888888889,0.28,0.32558139534883723,50
"sea anemone, anemone",0.0,0.0,0.0,50
brain coral,0.47368421052631576,0.18,0.2608695652173913,50
"flatworm, platyhelminth",0.0,0.0,0.0,50
"nematode, nematode worm, roundworm",0.7777777777777778,0.14,0.23728813559322035,50
conch,0.15789473684210525,0.12,0.13636363636363635,50
snail,0.1111111111111111,0.1,0.10526315789473685,50
slug,0.2631578947368421,0.1,0.14492753623188404,50
"sea slug, nudibranch",0.0,0.0,0.0,50
"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.20588235294117646,0.14,0.16666666666666666,50
"chambered nautilus, pearly nautilus, nautilus",0.6,0.24,0.34285714285714286,50
"Dungeness crab, Cancer magister",0.0967741935483871,0.12,0.10714285714285714,50
"rock crab, Cancer irroratus",0.013333333333333334,0.02,0.016,50
fiddler crab,0.06976744186046512,0.12,0.08823529411764704,50
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.1206896551724138,0.14,0.12962962962962962,50
"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.2631578947368421,0.3,0.2803738317757009,50
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.08823529411764706,0.18,0.11842105263157895,50
"crayfish, crawfish, crawdad, crawdaddy",0.05555555555555555,0.06,0.05769230769230769,50
hermit crab,0.10526315789473684,0.08,0.0909090909090909,50
isopod,1.0,0.04,0.07692307692307693,50
"white stork, Ciconia ciconia",0.3225806451612903,0.2,0.24691358024691357,50
"black stork, Ciconia nigra",0.4444444444444444,0.16,0.23529411764705882,50
spoonbill,0.3870967741935484,0.24,0.2962962962962963,50
flamingo,0.47058823529411764,0.32,0.38095238095238104,50
"little blue heron, Egretta caerulea",0.3,0.06,0.09999999999999999,50
"American egret, great white heron, Egretta albus",0.5,0.12,0.1935483870967742,50
bittern,0.2727272727272727,0.06,0.09836065573770492,50
"crane, bird",0.2857142857142857,0.08,0.125,50
"limpkin, Aramus pictus",0.25806451612903225,0.16,0.19753086419753085,50
"European gallinule, Porphyrio porphyrio",0.4,0.16,0.22857142857142856,50
"American coot, marsh hen, mud hen, water hen, Fulica americana",0.27419354838709675,0.34,0.30357142857142855,50
bustard,0.25925925925925924,0.14,0.18181818181818182,50
"ruddy turnstone, Arenaria interpres",0.375,0.36,0.3673469387755102,50
"red-backed sandpiper, dunlin, Erolia alpina",0.24444444444444444,0.22,0.23157894736842105,50
"redshank, Tringa totanus",0.25,0.22,0.23404255319148937,50
dowitcher,0.2,0.18,0.1894736842105263,50
"oystercatcher, oyster catcher",0.75,0.3,0.4285714285714285,50
pelican,0.11764705882352941,0.08,0.09523809523809526,50
"king penguin, Aptenodytes patagonica",0.38636363636363635,0.34,0.36170212765957455,50
"albatross, mollymawk",0.4,0.16,0.22857142857142856,50
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.6153846153846154,0.32,0.4210526315789474,50
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",0.28125,0.54,0.36986301369863017,50
"dugong, Dugong dugon",0.7333333333333333,0.22,0.3384615384615385,50
